               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.039817,            0.034585,            0.016199,             0.65483,             0.60746,             0.63325,             0.35912,            0.038652,             0.02091,            0.011342,           0.0012179,           0.0012179,           0.0012179
                  81,            0.039528,            0.034511,             0.01612,             0.65624,             0.60827,             0.63394,             0.35986,            0.038622,            0.020901,            0.011322,            0.001208,            0.001208,            0.001208
                  82,            0.039589,            0.034354,            0.016255,             0.65564,             0.60979,             0.63534,             0.36066,            0.038594,            0.020893,            0.011297,           0.0011981,           0.0011981,           0.0011981
                  83,            0.039599,            0.034454,             0.01617,              0.6592,             0.60876,             0.63596,             0.36148,            0.038565,            0.020883,            0.011273,           0.0011882,           0.0011882,           0.0011882
                  84,            0.039209,            0.034541,            0.016049,             0.66071,             0.60845,             0.63655,             0.36202,             0.03854,            0.020876,            0.011255,           0.0011783,           0.0011783,           0.0011783
                  85,            0.039316,            0.034455,            0.015805,             0.65864,             0.60922,              0.6372,             0.36279,            0.038511,            0.020865,            0.011235,           0.0011684,           0.0011684,           0.0011684
                  86,            0.039172,            0.034155,            0.015852,              0.6611,             0.61001,             0.63817,             0.36317,            0.038481,            0.020857,            0.011221,           0.0011585,           0.0011585,           0.0011585
                  87,            0.039195,             0.03385,            0.015542,             0.66241,             0.61045,             0.63905,              0.3641,            0.038451,            0.020847,            0.011201,           0.0011486,           0.0011486,           0.0011486
                  88,            0.039113,            0.034248,            0.015651,             0.66515,             0.60942,             0.64019,             0.36457,             0.03842,            0.020839,             0.01118,           0.0011387,           0.0011387,           0.0011387
                  89,            0.038836,            0.034221,            0.015541,             0.66411,             0.61131,             0.64054,             0.36514,            0.038393,            0.020831,            0.011162,           0.0011288,           0.0011288,           0.0011288
                  90,            0.038936,            0.033901,            0.015533,             0.66175,             0.61408,               0.641,             0.36572,            0.038366,            0.020823,            0.011136,           0.0011189,           0.0011189,           0.0011189
                  91,            0.038955,            0.034286,            0.015362,             0.66472,             0.61297,             0.64162,             0.36613,             0.03834,            0.020817,            0.011114,            0.001109,            0.001109,            0.001109
                  92,            0.038772,             0.03399,             0.01524,             0.66381,             0.61568,             0.64284,             0.36684,            0.038314,            0.020807,            0.011098,           0.0010991,           0.0010991,           0.0010991
                  93,            0.038695,            0.033594,            0.015294,             0.66361,             0.61727,              0.6439,             0.36778,            0.038286,              0.0208,            0.011081,           0.0010892,           0.0010892,           0.0010892
                  94,             0.03859,            0.033733,            0.014848,             0.66399,             0.61787,             0.64452,             0.36824,            0.038259,            0.020791,            0.011059,           0.0010793,           0.0010793,           0.0010793
                  95,            0.038398,            0.033713,            0.014988,             0.66456,             0.61768,             0.64493,             0.36883,            0.038232,            0.020781,            0.011039,           0.0010694,           0.0010694,           0.0010694
                  96,            0.038285,             0.03361,            0.014829,             0.66335,             0.61988,             0.64603,             0.36965,            0.038206,            0.020774,             0.01102,           0.0010595,           0.0010595,           0.0010595
                  97,            0.038418,            0.033864,            0.014605,             0.66421,             0.62201,             0.64705,             0.36981,             0.03818,            0.020764,            0.011002,           0.0010496,           0.0010496,           0.0010496
                  98,            0.038414,            0.033626,            0.014448,             0.66318,             0.62196,             0.64758,             0.37092,            0.038156,            0.020755,            0.010986,           0.0010397,           0.0010397,           0.0010397
                  99,            0.038261,            0.033555,             0.01448,             0.66556,             0.62247,             0.64813,             0.37162,             0.03813,            0.020747,             0.01097,           0.0010298,           0.0010298,           0.0010298
                 100,            0.038099,            0.033271,             0.01441,             0.66545,             0.62333,             0.64876,             0.37188,            0.038106,            0.020739,            0.010952,           0.0010199,           0.0010199,           0.0010199
                 101,            0.037986,            0.033519,            0.014382,             0.66347,             0.62398,              0.6495,              0.3728,             0.03808,            0.020729,            0.010936,             0.00101,             0.00101,             0.00101
                 102,            0.038002,            0.033494,            0.014278,             0.66124,             0.62634,             0.64986,             0.37355,            0.038058,            0.020717,            0.010921,           0.0010001,           0.0010001,           0.0010001
                 103,            0.037879,            0.033462,            0.014227,             0.66072,             0.62692,             0.65049,             0.37392,            0.038037,            0.020706,            0.010908,           0.0009902,           0.0009902,           0.0009902
                 104,            0.037982,            0.033394,            0.013977,             0.65882,             0.63021,             0.65089,             0.37453,            0.038015,            0.020694,            0.010891,           0.0009803,           0.0009803,           0.0009803
                 105,            0.037801,            0.033485,            0.014096,             0.66186,             0.62813,             0.65173,             0.37546,            0.037992,            0.020683,            0.010873,           0.0009704,           0.0009704,           0.0009704
                 106,            0.037703,            0.033222,            0.013964,             0.66156,             0.63013,             0.65242,             0.37624,            0.037969,            0.020672,            0.010862,           0.0009605,           0.0009605,           0.0009605
                 107,            0.037912,             0.03326,            0.014047,             0.66334,             0.62873,             0.65335,             0.37692,            0.037945,            0.020663,            0.010846,           0.0009506,           0.0009506,           0.0009506
                 108,            0.037505,            0.033003,            0.013801,             0.66795,              0.6282,              0.6546,             0.37791,            0.037924,            0.020654,            0.010828,           0.0009407,           0.0009407,           0.0009407
                 109,            0.037545,            0.033135,            0.013641,              0.6673,             0.63044,             0.65555,             0.37875,              0.0379,            0.020644,            0.010806,           0.0009308,           0.0009308,           0.0009308
                 110,            0.037554,            0.033172,            0.013815,             0.66902,             0.62932,             0.65638,             0.37982,            0.037878,            0.020634,            0.010796,           0.0009209,           0.0009209,           0.0009209
                 111,            0.037515,            0.033398,            0.013628,             0.66898,             0.62879,             0.65654,             0.38042,            0.037857,            0.020625,            0.010783,            0.000911,            0.000911,            0.000911
                 112,            0.037516,             0.03311,            0.013442,             0.66727,             0.63409,             0.65737,             0.38152,            0.037835,            0.020616,            0.010766,           0.0009011,           0.0009011,           0.0009011
                 113,            0.037323,            0.032846,            0.013603,             0.66872,             0.63371,             0.65768,             0.38186,            0.037815,            0.020609,            0.010743,           0.0008912,           0.0008912,           0.0008912
                 114,            0.037072,            0.032741,            0.013439,              0.6692,             0.63346,             0.65788,             0.38254,            0.037794,            0.020598,            0.010722,           0.0008813,           0.0008813,           0.0008813
                 115,             0.03721,             0.03268,            0.013437,             0.66972,             0.63326,              0.6587,             0.38323,            0.037774,            0.020587,            0.010701,           0.0008714,           0.0008714,           0.0008714
