               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.043104,            0.032878,            0.018605,             0.67851,             0.60114,             0.66087,             0.38586,            0.039319,            0.019675,            0.012098,             0.00685,             0.00685,             0.00685
                  72,            0.043242,             0.03291,            0.018479,             0.68193,              0.5985,             0.66215,             0.38707,            0.039289,            0.019661,             0.01208,            0.006805,            0.006805,            0.006805
                  73,             0.04285,            0.032958,            0.018455,             0.68375,             0.59684,             0.66276,             0.38765,            0.039254,            0.019648,            0.012049,             0.00676,             0.00676,             0.00676
                  74,            0.042735,              0.0326,            0.017849,             0.68997,              0.5932,             0.66386,             0.38873,            0.039221,            0.019636,            0.012025,            0.006715,            0.006715,            0.006715
                  75,            0.042571,            0.032719,            0.017789,             0.69179,             0.59622,              0.6652,             0.38958,            0.039195,            0.019621,            0.011993,             0.00667,             0.00667,             0.00667
                  76,            0.042858,            0.032426,             0.01783,             0.69315,             0.59974,              0.6662,             0.39036,            0.039164,            0.019608,            0.011959,            0.006625,            0.006625,            0.006625
                  77,            0.042608,            0.032521,            0.017946,             0.69482,             0.59638,             0.66737,             0.39113,            0.039135,            0.019593,            0.011925,             0.00658,             0.00658,             0.00658
                  78,            0.042461,            0.032339,            0.017804,             0.69677,             0.59477,             0.66823,             0.39232,            0.039112,            0.019581,            0.011895,            0.006535,            0.006535,            0.006535
                  79,            0.042685,            0.032542,            0.017583,             0.69987,             0.59649,             0.66971,             0.39305,            0.039086,            0.019569,            0.011867,             0.00649,             0.00649,             0.00649
                  80,            0.042494,            0.032422,            0.017574,             0.70076,             0.59661,             0.67083,              0.3936,            0.039058,            0.019557,            0.011831,            0.006445,            0.006445,            0.006445
                  81,            0.042365,            0.032519,            0.017665,              0.6977,             0.59966,             0.67071,             0.39431,            0.039026,            0.019548,            0.011809,              0.0064,              0.0064,              0.0064
                  82,            0.042286,            0.032293,            0.017493,             0.69684,             0.60058,             0.67168,             0.39537,            0.039001,            0.019535,             0.01178,            0.006355,            0.006355,            0.006355
                  83,            0.042251,            0.032479,            0.017152,             0.70207,             0.59826,             0.67201,             0.39677,            0.038977,            0.019522,            0.011749,             0.00631,             0.00631,             0.00631
                  84,             0.04203,            0.032572,            0.016996,             0.70701,             0.59909,             0.67292,             0.39729,            0.038947,            0.019511,            0.011722,            0.006265,            0.006265,            0.006265
                  85,            0.042047,            0.032373,            0.017275,             0.70674,             0.60106,             0.67383,             0.39759,            0.038917,            0.019501,            0.011697,             0.00622,             0.00622,             0.00622
                  86,            0.042039,            0.032224,             0.01692,             0.70993,             0.60236,             0.67515,             0.39883,             0.03889,            0.019487,            0.011667,            0.006175,            0.006175,            0.006175
                  87,            0.042095,             0.03223,            0.016745,             0.71178,             0.60279,             0.67626,             0.40042,            0.038858,            0.019473,            0.011638,             0.00613,             0.00613,             0.00613
                  88,            0.041934,            0.032121,            0.017015,              0.7109,             0.60484,             0.67673,             0.40144,            0.038832,            0.019458,            0.011614,            0.006085,            0.006085,            0.006085
                  89,            0.041896,            0.032245,            0.016603,             0.70416,             0.60923,             0.67726,             0.40223,            0.038809,            0.019444,            0.011601,             0.00604,             0.00604,             0.00604
                  90,            0.041643,            0.032218,            0.016283,             0.70806,             0.60877,             0.67767,             0.40301,            0.038781,            0.019429,            0.011583,            0.005995,            0.005995,            0.005995
                  91,            0.041768,            0.032156,            0.016505,             0.70812,             0.61055,              0.6799,             0.40418,            0.038754,            0.019411,             0.01157,             0.00595,             0.00595,             0.00595
                  92,            0.041633,            0.032185,            0.016473,             0.70959,             0.61125,              0.6807,             0.40509,             0.03873,            0.019394,            0.011553,            0.005905,            0.005905,            0.005905
                  93,             0.04135,            0.031716,            0.016279,             0.70942,             0.61376,             0.68144,             0.40624,            0.038705,            0.019379,             0.01155,             0.00586,             0.00586,             0.00586
                  94,            0.041269,            0.031831,            0.016251,             0.71019,             0.61483,             0.68181,             0.40732,            0.038674,            0.019366,             0.01155,            0.005815,            0.005815,            0.005815
                  95,            0.041321,            0.032092,            0.016508,             0.71154,             0.61416,              0.6825,             0.40793,            0.038649,            0.019354,            0.011547,             0.00577,             0.00577,             0.00577
                  96,            0.041197,            0.031681,            0.016156,             0.70972,             0.61958,             0.68421,             0.40887,            0.038613,            0.019341,            0.011542,            0.005725,            0.005725,            0.005725
                  97,            0.041111,            0.031818,            0.015964,             0.71003,             0.62006,             0.68515,             0.40961,            0.038582,            0.019327,            0.011525,             0.00568,             0.00568,             0.00568
                  98,            0.041098,            0.031721,            0.015776,             0.70758,             0.62136,             0.68643,             0.41082,            0.038557,            0.019311,            0.011512,            0.005635,            0.005635,            0.005635
                  99,             0.04103,            0.031917,            0.016103,             0.70828,             0.62591,             0.68762,             0.41181,            0.038532,            0.019295,            0.011501,             0.00559,             0.00559,             0.00559
                 100,            0.040946,            0.031769,            0.016011,             0.70807,             0.62652,             0.68865,             0.41235,            0.038501,            0.019282,            0.011485,            0.005545,            0.005545,            0.005545
                 101,            0.041177,            0.031838,            0.015487,             0.70912,             0.62718,              0.6895,              0.4134,            0.038472,            0.019269,            0.011467,              0.0055,              0.0055,              0.0055
                 102,            0.041066,            0.031644,            0.015693,             0.71636,             0.62344,             0.69071,             0.41502,            0.038443,            0.019252,            0.011443,            0.005455,            0.005455,            0.005455
                 103,            0.040952,            0.031638,            0.015801,              0.7173,             0.62406,             0.69157,             0.41566,            0.038414,            0.019238,            0.011425,             0.00541,             0.00541,             0.00541
                 104,              0.0407,            0.031674,            0.015704,              0.7174,             0.62398,             0.69253,             0.41659,             0.03839,            0.019226,            0.011402,            0.005365,            0.005365,            0.005365
                 105,            0.040796,            0.031589,            0.015714,             0.72201,              0.6245,             0.69486,             0.41781,            0.038368,            0.019211,            0.011379,             0.00532,             0.00532,             0.00532
                 106,            0.040649,            0.031445,            0.015464,             0.72263,             0.62346,             0.69527,             0.41802,             0.03835,            0.019199,            0.011356,            0.005275,            0.005275,            0.005275
                 107,            0.040648,            0.031524,            0.015476,             0.72491,             0.62539,             0.69685,             0.41943,            0.038323,            0.019187,            0.011341,             0.00523,             0.00523,             0.00523
                 108,            0.040635,            0.031477,            0.015228,             0.72591,             0.62599,             0.69762,             0.42009,            0.038295,            0.019172,            0.011318,            0.005185,            0.005185,            0.005185
                 109,            0.040433,            0.031615,            0.015497,             0.72261,              0.6313,              0.6992,             0.42115,            0.038271,            0.019159,            0.011286,             0.00514,             0.00514,             0.00514
                 110,            0.040352,            0.031178,            0.015024,             0.72301,             0.63327,             0.70039,             0.42245,            0.038243,            0.019148,            0.011265,            0.005095,            0.005095,            0.005095
                 111,            0.040119,            0.031446,            0.014694,             0.72043,              0.6342,              0.7014,             0.42326,            0.038219,            0.019138,            0.011249,             0.00505,             0.00505,             0.00505
                 112,             0.04016,            0.031186,            0.014589,             0.71865,             0.63669,             0.70239,             0.42374,            0.038196,            0.019124,            0.011239,            0.005005,            0.005005,            0.005005
                 113,            0.040272,            0.031238,            0.014814,             0.71975,             0.63551,             0.70243,             0.42455,            0.038171,             0.01911,            0.011225,             0.00496,             0.00496,             0.00496
                 114,            0.040095,            0.031087,            0.014458,              0.7225,             0.63623,             0.70313,              0.4253,            0.038145,            0.019097,            0.011213,            0.004915,            0.004915,            0.004915
                 115,            0.039904,            0.031146,            0.014145,             0.71931,             0.63855,             0.70425,             0.42611,            0.038126,            0.019083,            0.011207,             0.00487,             0.00487,             0.00487
                 116,            0.040164,            0.031198,            0.014668,             0.72442,             0.63727,             0.70471,             0.42628,             0.03811,             0.01907,            0.011196,            0.004825,            0.004825,            0.004825
                 117,            0.039958,            0.030904,            0.014467,             0.72289,             0.64041,             0.70562,             0.42747,            0.038087,            0.019056,            0.011184,             0.00478,             0.00478,             0.00478
                 118,            0.039768,            0.031379,             0.01434,             0.72517,             0.64041,             0.70624,              0.4281,            0.038065,            0.019043,            0.011164,            0.004735,            0.004735,            0.004735
                 119,            0.039984,            0.031324,            0.014573,             0.72639,             0.64021,              0.7073,             0.42922,            0.038048,            0.019034,            0.011149,             0.00469,             0.00469,             0.00469
                 120,            0.039797,            0.030867,            0.014734,             0.72895,             0.64037,             0.70767,             0.42992,            0.038029,            0.019022,            0.011135,            0.004645,            0.004645,            0.004645
                 121,            0.039692,            0.030888,            0.014216,             0.72882,             0.64324,             0.70974,             0.43114,            0.038005,            0.019009,            0.011115,              0.0046,              0.0046,              0.0046
                 122,            0.039702,            0.031049,            0.013842,             0.72884,             0.64627,             0.71071,             0.43244,            0.037983,            0.018994,            0.011097,            0.004555,            0.004555,            0.004555
                 123,            0.039659,            0.030591,            0.013835,             0.73252,             0.64445,             0.71154,               0.433,            0.037956,            0.018983,            0.011076,             0.00451,             0.00451,             0.00451
                 124,            0.039366,             0.03067,            0.013641,             0.73412,             0.64721,               0.713,             0.43423,            0.037937,            0.018971,            0.011063,            0.004465,            0.004465,            0.004465
                 125,            0.039636,            0.030968,            0.014052,             0.73619,             0.64757,             0.71394,             0.43532,             0.03791,            0.018956,            0.011041,             0.00442,             0.00442,             0.00442
                 126,            0.039238,            0.030715,            0.014001,             0.73658,             0.64912,             0.71538,             0.43644,            0.037883,            0.018945,            0.011018,            0.004375,            0.004375,            0.004375
                 127,             0.03939,             0.03076,            0.013651,             0.73553,             0.64952,             0.71544,             0.43701,            0.037857,            0.018933,            0.010992,             0.00433,             0.00433,             0.00433
                 128,            0.039195,            0.030588,            0.013706,             0.73691,             0.64969,              0.7168,             0.43777,            0.037831,            0.018921,            0.010965,            0.004285,            0.004285,            0.004285
                 129,            0.039295,            0.030536,            0.013736,             0.73916,             0.64786,             0.71718,             0.43871,            0.037807,            0.018911,            0.010948,             0.00424,             0.00424,             0.00424
                 130,            0.039205,            0.030559,             0.01374,             0.74105,             0.64921,             0.71817,                0.44,            0.037783,            0.018898,            0.010938,            0.004195,            0.004195,            0.004195
                 131,            0.039025,            0.030673,            0.013587,             0.74568,             0.65054,             0.71899,             0.44075,            0.037765,            0.018884,             0.01092,             0.00415,             0.00415,             0.00415
                 132,            0.038896,            0.030544,            0.013326,             0.74758,             0.65129,             0.72003,             0.44176,            0.037743,            0.018871,            0.010901,            0.004105,            0.004105,            0.004105
                 133,            0.038701,            0.030627,            0.013241,             0.74807,             0.65161,             0.72126,             0.44318,            0.037721,             0.01886,            0.010889,             0.00406,             0.00406,             0.00406
                 134,            0.038797,            0.030593,            0.012998,              0.7502,             0.65103,             0.72204,             0.44422,              0.0377,            0.018848,            0.010871,            0.004015,            0.004015,            0.004015
                 135,            0.038583,             0.03026,            0.012939,             0.75145,             0.65313,             0.72306,             0.44479,            0.037677,            0.018839,            0.010854,             0.00397,             0.00397,             0.00397
                 136,            0.038523,            0.030267,            0.013207,             0.75218,             0.65544,             0.72377,             0.44561,            0.037653,            0.018825,            0.010836,            0.003925,            0.003925,            0.003925
                 137,            0.038684,            0.030607,            0.012867,             0.75307,             0.65562,             0.72496,             0.44648,            0.037625,            0.018817,            0.010823,             0.00388,             0.00388,             0.00388
