                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.1507,                 1.5754,                 1.6077,                0.67556,                0.57955,                0.64377,                0.43392,                 1.2052,                 1.3497,                 1.6432,              0.0006931,              0.0006931,              0.0006931
                     64,                 1.1409,                 1.5733,                 1.6012,                0.67271,                0.58321,                0.64482,                 0.4351,                 1.2034,                 1.3471,                 1.6415,             0.00068815,             0.00068815,             0.00068815
                     65,                 1.1419,                 1.5642,                 1.5992,                0.67473,                 0.5859,                0.64614,                0.43607,                 1.2019,                 1.3446,                 1.6399,              0.0006832,              0.0006832,              0.0006832
                     66,                 1.1352,                 1.5594,                 1.5963,                0.67751,                0.58497,                 0.6474,                0.43766,                 1.2004,                 1.3422,                 1.6384,             0.00067825,             0.00067825,             0.00067825
                     67,                 1.1309,                 1.5527,                 1.5909,                0.68362,                 0.5842,                0.64942,                0.43839,                 1.1987,                 1.3395,                 1.6368,              0.0006733,              0.0006733,              0.0006733
                     68,                  1.135,                 1.5489,                 1.5899,                0.68253,                0.58526,                0.65092,                0.43951,                 1.1973,                 1.3365,                 1.6352,             0.00066835,             0.00066835,             0.00066835
                     69,                 1.1314,                 1.5359,                  1.585,                0.68534,                0.58382,                 0.6519,                0.43983,                 1.1961,                  1.334,                 1.6338,              0.0006634,              0.0006634,              0.0006634
                     70,                 1.1249,                 1.5283,                  1.583,                0.69049,                 0.5812,                0.65394,                0.44073,                 1.1951,                 1.3313,                 1.6323,             0.00065845,             0.00065845,             0.00065845
                     71,                 1.1227,                 1.5149,                 1.5789,                0.68696,                0.58428,                0.65475,                0.44203,                 1.1939,                 1.3287,                 1.6309,              0.0006535,              0.0006535,              0.0006535
                     72,                 1.1215,                 1.5164,                 1.5789,                0.68764,                0.58391,                0.65581,                0.44265,                 1.1928,                 1.3263,                 1.6295,             0.00064855,             0.00064855,             0.00064855
                     73,                 1.1155,                 1.5035,                 1.5729,                0.68979,                0.58348,                0.65714,                0.44353,                 1.1921,                 1.3236,                 1.6284,              0.0006436,              0.0006436,              0.0006436
